point_id,label,prefecture,elevation_m,slope_deg,local_relief_m,distance_to_volcano_km,distance_to_river_km,distance_to_lake_km,vegetation_naturalness,geology_group
p12-01-10016,1,北海道,4.7,0.0,0.3,10.7,0.299,2.272,1.0,堆積岩
p12-02-10003,1,青森県,886.1,5.23,39.8,2.43,0.017,6.496,9.0,火成岩
p12-02-10009,1,青森県,7.2,3.86,51.9,26.17,0.582,16.117,,堆積岩
p12-02-10015,1,青森県,1.9,2.06,6.7,25.69,0.129,15.994,,堆積岩
p12-02-10021,1,青森県,886.1,5.23,39.8,2.43,0.017,6.496,9.0,火成岩
p12-02-10022,1,青森県,2.1,1.04,6.7,25.73,0.167,16.01,,堆積岩
p12-02-10037,1,青森県,6.8,1.04,9.9,25.46,0.026,16.153,1.0,堆積岩
p12-02-10042,1,青森県,2.4,1.86,8.7,25.6,0.038,15.952,,堆積岩
p12-02-10047,1,青森県,6.7,1.19,27.0,25.49,0.01,16.089,1.0,堆積岩
p12-02-10055,1,青森県,152.0,1.84,54.4,11.83,0.468,11.508,6.0,堆積岩
p12-02-10089,1,青森県,376.9,5.62,29.6,4.18,0.301,9.103,6.0,火成岩
p12-02-10131,1,青森県,112.9,1.24,6.6,17.87,0.172,1.347,2.0,火成岩
p12-02-10140,1,青森県,378.6,10.16,77.9,15.84,0.007,1.627,6.0,火成岩
p12-02-10142,1,青森県,91.7,1.79,11.1,19.25,0.132,3.253,2.0,堆積岩
p12-02-10145,1,青森県,97.7,2.24,8.0,18.68,0.073,2.173,2.0,火成岩
p12-02-10149,1,青森県,55.0,0.55,2.4,22.71,0.544,7.372,2.0,堆積岩
p12-02-10171,1,青森県,469.6,0.35,34.1,9.44,0.154,10.795,9.0,火成岩
p12-02-10201,1,青森県,18.4,1.56,24.0,40.28,0.067,4.766,6.0,堆積岩
p12-02-10205,1,青森県,27.2,1.85,31.0,41.49,1.125,0.152,,堆積岩
p12-02-10213,1,青森県,63.6,3.51,28.7,12.22,0.099,6.81,8.0,火成岩
p12-02-10218,1,青森県,82.1,8.4,50.8,4.99,0.526,5.507,6.0,火成岩
p12-02-10219,1,青森県,70.5,7.98,44.7,13.5,0.038,7.413,8.0,火成岩
p12-02-10227,1,青森県,30.4,4.25,31.7,12.29,0.143,10.479,6.0,堆積岩
p12-02-10232,1,青森県,24.5,1.18,20.8,9.29,0.363,10.938,2.0,堆積岩
p12-02-10233,1,青森県,104.2,3.3,21.8,13.93,0.061,7.278,8.0,火成岩
p12-02-10236,1,青森県,101.9,5.54,59.4,14.05,0.03,7.185,8.0,火成岩
p12-02-10237,1,青森県,70.5,7.98,44.7,13.5,0.038,7.413,8.0,火成岩
p12-02-10247,1,青森県,2.7,0.0,0.4,25.59,0.796,3.58,2.0,堆積岩
p12-02-10252,1,青森県,7.6,0.0,0.2,17.89,1.049,4.47,2.0,堆積岩
p12-02-10254,1,青森県,42.4,1.14,3.3,23.78,0.044,9.124,2.0,堆積岩
p12-02-10256,1,青森県,37.3,5.0,4.8,22.59,0.189,10.529,1.0,堆積岩
p12-02-10262,1,青森県,266.3,6.54,73.1,20.65,0.015,13.567,6.0,火成岩
p12-02-10265,1,青森県,35.2,1.35,3.8,23.06,0.043,9.853,2.0,堆積岩
p12-02-10267,1,青森県,141.1,1.33,5.9,23.78,0.077,10.029,2.0,堆積岩
p12-02-10271,1,青森県,20.7,0.52,4.5,30.95,0.177,15.725,2.0,堆積岩
p12-02-10282,1,青森県,15.1,1.1,8.1,41.98,0.576,15.988,6.0,堆積岩
p12-02-10291,1,青森県,15.0,4.44,26.1,43.26,0.072,22.474,8.0,堆積岩
p12-02-10298,1,青森県,404.1,6.55,35.2,4.68,0.776,9.482,2.0,火成岩
p12-02-10303,1,青森県,5.0,1.1,5.5,15.12,0.051,12.611,,堆積岩
p12-02-10325,1,青森県,227.2,1.25,23.4,18.21,0.078,3.084,6.0,堆積岩
p12-02-10326,1,青森県,160.9,6.92,44.6,12.18,0.099,1.537,6.0,火成岩
p12-02-10327,1,青森県,121.4,0.78,4.8,8.75,0.282,5.285,7.0,堆積岩
p12-02-10338,1,青森県,72.0,0.72,6.0,26.73,0.052,10.831,2.0,堆積岩
p12-02-10346,1,青森県,17.2,1.52,9.7,12.58,1.039,0.06,3.0,火成岩
p12-02-10363,1,青森県,84.3,3.53,42.4,28.79,0.181,9.537,6.0,火成岩
p12-02-10401,1,青森県,40.2,0.34,31.5,43.93,0.244,1.19,6.0,堆積岩
p12-02-10422,1,青森県,29.3,2.84,16.1,31.28,0.16,25.113,2.0,堆積岩
p12-02-10430,1,青森県,40.4,30.26,117.8,22.93,0.055,17.244,9.0,火成岩
p12-02-10443,1,青森県,107.6,1.21,16.7,36.02,1.253,21.014,2.0,堆積岩
p12-02-10447,1,青森県,92.4,8.0,34.7,26.14,0.223,23.178,2.0,堆積岩
p12-02-10457,1,青森県,19.7,0.28,21.7,39.26,0.674,25.348,7.0,堆積岩
p12-02-10463,1,青森県,177.6,18.69,45.8,36.78,0.88,33.947,3.0,堆積岩
p12-02-10478,1,青森県,224.9,6.02,78.8,17.99,0.017,15.201,6.0,火成岩
p12-02-10479,1,青森県,248.9,6.37,72.4,17.54,0.031,14.743,6.0,火成岩
p12-03-10016,1,岩手県,197.6,8.3,87.3,19.85,0.065,0.194,6.0,堆積岩
p12-03-10017,1,岩手県,189.3,2.74,68.5,20.1,0.043,0.427,7.0,火成岩
p12-03-10018,1,岩手県,195.3,8.91,89.4,19.75,0.19,0.14,6.0,堆積岩
p12-03-10019,1,岩手県,202.9,14.48,43.3,20.21,0.119,0.071,,堆積岩
p12-03-10020,1,岩手県,184.4,3.27,38.8,19.92,0.043,0.219,7.0,堆積岩
p12-03-10021,1,岩手県,188.5,6.46,75.8,19.45,0.401,0.094,2.0,火成岩
p12-03-10022,1,岩手県,266.1,2.4,14.0,9.6,0.072,8.276,2.0,火成岩
p12-03-10044,1,岩手県,76.4,7.89,68.5,72.7,0.155,42.586,7.0,付加体
p12-03-10067,1,岩手県,324.6,4.19,49.2,83.11,0.105,36.16,2.0,火成岩
p12-03-10068,1,岩手県,310.6,8.64,58.6,88.02,0.48,42.481,8.0,火成岩
p12-03-10072,1,岩手県,9.6,16.58,30.3,82.24,2.924,49.195,6.0,火成岩
p12-03-10074,1,岩手県,146.7,6.63,28.9,41.49,0.164,8.773,6.0,堆積岩
p12-03-10124,1,岩手県,121.4,3.16,21.7,40.56,0.383,7.313,2.0,堆積岩
p12-03-10132,1,岩手県,236.2,5.82,56.4,65.24,0.106,17.762,7.0,付加体
p12-03-10152,1,岩手県,366.5,13.79,32.0,75.5,0.307,23.135,2.0,火成岩
p12-03-10166,1,岩手県,1117.9,1.73,32.6,2.56,0.423,1.393,9.0,火成岩
p12-03-10167,1,岩手県,108.0,4.89,34.6,24.05,0.11,23.425,7.0,堆積岩
p12-03-10168,1,岩手県,80.7,1.2,12.2,22.16,0.072,22.159,2.0,火成岩
p12-03-10169,1,岩手県,80.2,0.92,8.0,22.32,0.049,22.297,2.0,火成岩
p12-03-10170,1,岩手県,200.6,2.41,21.9,12.08,0.11,12.7,7.0,堆積岩
p12-03-10184,1,岩手県,30.6,7.95,31.7,80.83,5.498,51.205,2.0,火成岩
p12-03-10185,1,岩手県,349.9,10.75,79.0,73.7,1.084,36.684,6.0,火成岩
p12-03-10220,1,岩手県,74.2,2.48,11.0,37.35,0.132,27.731,2.0,堆積岩
p12-03-10221,1,岩手県,403.4,7.99,28.2,32.81,0.107,29.785,2.0,火成岩
p12-03-10234,1,岩手県,578.0,2.69,22.1,4.2,0.949,5.75,6.0,火成岩
p12-03-10235,1,岩手県,840.7,9.27,57.4,6.74,0.066,5.014,9.0,火成岩
p12-03-10236,1,岩手県,543.6,3.83,14.8,5.91,0.322,5.475,6.0,火成岩
p12-03-10237,1,岩手県,313.9,9.11,51.4,23.68,0.051,28.715,2.0,火成岩
p12-03-10238,1,岩手県,366.6,3.48,33.7,7.02,0.508,8.618,6.0,火成岩
p12-03-10252,1,岩手県,582.2,2.45,12.6,4.59,0.673,6.176,6.0,火成岩
p12-03-10253,1,岩手県,261.6,1.15,10.4,15.33,0.817,13.107,2.0,火成岩
p12-03-10254,1,岩手県,325.0,2.32,14.8,7.71,0.878,9.025,6.0,火成岩
p12-03-10255,1,岩手県,570.7,2.39,14.0,4.36,0.783,5.897,6.0,火成岩
p12-03-10265,1,岩手県,48.8,5.41,6.9,38.39,0.38,20.853,2.0,堆積岩
p12-03-10266,1,岩手県,244.3,1.32,44.9,21.84,0.177,3.51,6.0,火成岩
p12-03-10304,1,岩手県,777.4,15.49,87.0,6.41,0.118,4.712,9.0,火成岩
p12-03-10305,1,岩手県,251.7,3.05,34.0,17.86,0.211,3.864,2.0,堆積岩
p12-03-10306,1,岩手県,229.2,9.42,56.4,17.52,0.018,4.852,6.0,火成岩
p12-03-10307,1,岩手県,228.1,5.29,59.0,17.49,0.027,4.899,6.0,火成岩
p12-03-10308,1,岩手県,212.2,3.94,22.4,17.8,0.125,3.232,2.0,堆積岩
p12-03-10309,1,岩手県,224.4,4.53,29.9,17.53,0.2,3.965,2.0,堆積岩
p12-03-10310,1,岩手県,216.6,3.62,20.0,17.74,0.066,3.52,2.0,堆積岩
p12-03-10312,1,岩手県,447.2,6.42,28.2,10.56,0.702,9.302,6.0,火成岩
p12-03-10313,1,岩手県,451.9,4.61,25.6,7.76,0.145,6.585,6.0,火成岩
p12-03-10314,1,岩手県,650.4,5.81,37.1,7.1,0.364,5.459,7.0,火成岩
p12-03-10327,1,岩手県,295.8,1.14,54.2,8.89,0.042,8.675,2.0,堆積岩
p12-03-10328,1,岩手県,371.2,6.66,66.9,8.47,0.056,7.248,7.0,火成岩
p12-03-10341,1,岩手県,324.1,7.4,36.4,20.89,0.069,22.183,2.0,火成岩
p12-03-10351,1,岩手県,202.9,5.03,25.0,31.86,0.435,12.054,6.0,堆積岩
p12-03-10352,1,岩手県,198.4,3.35,20.5,32.02,0.337,12.168,6.0,堆積岩
p12-03-10360,1,岩手県,228.9,1.87,18.3,27.05,0.217,8.54,6.0,堆積岩
p12-03-10361,1,岩手県,200.6,2.22,12.2,27.37,0.181,9.058,2.0,堆積岩
p12-03-10362,1,岩手県,211.1,21.31,68.4,29.29,0.105,10.485,7.0,火成岩
p12-03-10374,1,岩手県,251.4,2.5,37.3,42.74,0.069,2.858,6.0,
p12-03-10375,1,岩手県,292.8,22.12,58.0,36.25,0.033,2.416,7.0,火成岩
p12-03-10376,1,岩手県,289.9,1.45,30.6,35.47,0.239,6.295,7.0,堆積岩
p12-03-10377,1,岩手県,279.0,9.16,42.7,40.86,0.079,8.202,2.0,火成岩
p12-03-10378,1,岩手県,426.6,1.91,9.2,24.43,0.315,11.765,5.0,堆積岩
p12-03-10379,1,岩手県,244.6,3.25,20.1,39.34,0.109,0.088,1.0,堆積岩
p12-03-10380,1,岩手県,251.7,5.63,22.8,44.04,0.073,4.141,2.0,堆積岩
